StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,"Q19 ","Q20 ",Q21,"Q22 ",Q23,Q24,Q25,Q26,"Q27 ",Q28
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I felt I could rely on robots to do what it was supposed to do.,I trusted that the robot was safe to cooperate with.,"I feel that if I depend on robots too much, something bad might happen.",I have had experience with robots before,Have you ever used a robotic arm or similar device in any capacity?,What is your highest level of education?,"Have you taken any courses, either online or in person, related to robotics or automation?",Please indicate your educational and professional background,What is the extent of your experience in the field of education?,How many years of experience do you have in the field of education?,"I work actively to
create good
relationships with
my students (imagine you are a teacher or TA)","I show interest in
each student (imagine you are a teacher or TA)","I have
established
routines/rules for
how the students
are supposed to
act when they
change
activity/workplace (imagine you are a teacher or TA)","I have
established
routines/rules for
how the students
are supposed to
act in teaching
sessions (imagine you are a teacher or TA)","I often praise my
students (imagine you are a teacher or TA)","I show the
students that I
care about them
(not only when it
comes to
academic work) (imagine you are a teacher or TA)","I am closely
monitoring the
student's
behavior in class (imagine you are a teacher or TA)","I have
established
routines/rules for
individual work (imagine you are a teacher or TA)",I see myself as someone who is reserved,I see myself as someone who is generally trusting,I see myself as someone who tends to be lazy,"I see myself as someone who is relaxed, handles stress well",I see myself as someone who has few artistic interests,"I see myself as someone who is outgoing, sociable",I see myself as someone who tends to find fault with others,I see myself as someone who does a thorough job,I see myself as someone who gets nervous easily,I see myself as someone who has an active imagination
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID3""}","{""ImportId"":""QID12""}","{""ImportId"":""QID15""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID20""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}"
2024-09-04 14:08:15,2024-09-04 14:11:45,0,130.64.22.2,100,210,1,2024-09-04 14:11:46,R_1qepW7QY61bth0T,,,,,42.4178,-71.1134,anonymous,EN,5,5,4,4,1,3,3,3,1,2,3,5,4,4,5,5,3,5,4,5,3,4,4,4,4,4,2,4
2024-09-04 14:24:05,2024-09-04 14:28:21,0,130.64.22.2,100,255,1,2024-09-04 14:28:21,R_6YkC1Xspli18us1,,,,,42.4178,-71.1134,anonymous,EN,3,2,2,3,1,6,3,4,1,2,1,1,1,1,1,1,1,1,2,2,5,4,2,5,4,5,4,5
2024-09-04 14:29:20,2024-09-04 14:32:50,0,130.64.22.2,100,209,1,2024-09-04 14:32:50,R_6RUqrTGmLn50q7f,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,3,1,6,1,5,1,1,1,1,1,1,1,1,1,1,3,5,5,4,3,5,3,4,2,4
2024-09-04 14:38:51,2024-09-04 14:42:33,0,130.64.22.2,100,221,1,2024-09-04 14:42:33,R_7FKXHODsqe05dbB,,,,,42.4178,-71.1134,anonymous,EN,4,2,2,3,3,6,1,2,1,1,3,2,2,3,2,2,2,3,3,3,4,2,2,1,2,2,2,4
2024-09-04 14:58:40,2024-09-04 15:01:39,0,130.64.22.2,100,179,1,2024-09-04 15:01:40,R_1ARrQ2FWhxn40AN,,,,,42.4178,-71.1134,anonymous,EN,3,3,3,2,2,6,1,2,1,3,4,4,4,2,4,2,4,1,3,4,4,4,4,5,5,5,5,5
2024-09-04 15:13:11,2024-09-04 15:16:13,0,130.64.22.2,100,182,1,2024-09-04 15:16:14,R_3wT8RAAnsTEnnN9,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,5,4,6,4,5,2,4,5,4,3,2,4,4,2,5,4,3,4,4,4,3,3,3,3,3
2024-09-04 15:27:37,2024-09-04 15:31:21,0,130.64.22.2,100,224,1,2024-09-04 15:31:22,R_1g8fsMV844o78Dn,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,2,1,6,1,5,2,2,2,3,1,1,2,4,3,3,2,4,4,2,3,4,2,5,3,5
2024-09-04 15:54:52,2024-09-04 16:00:07,0,130.64.22.2,100,315,1,2024-09-04 16:00:09,R_5h8vJQkNnyf7Ghj,,,,,42.4178,-71.1134,anonymous,EN,3,3,1,4,1,5,1,5,2,2,2,3,2,2,4,3,1,2,3,3,5,2,2,2,3,2,5,4
2024-09-04 16:12:15,2024-09-04 16:33:09,0,130.64.22.2,100,1253,1,2024-09-04 16:33:09,R_3ZD1aQePziCZqjV,,,,,42.4178,-71.1134,anonymous,EN,2,4,3,3,3,5,2,3,1,4,2,3,2,2,3,2,3,3,2,2,3,2,2,2,2,2,2,2
2024-09-04 17:17:28,2024-09-04 17:29:12,0,130.64.22.2,100,703,1,2024-09-04 17:29:13,R_6CnPNpRNWI90wBb,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,4,1,5,3,5,2,1,5,5,3,4,4,5,5,4,3,2,1,5,1,3,2,5,2,5
2024-09-04 17:54:57,2024-09-04 18:00:52,0,130.64.22.2,100,355,1,2024-09-04 18:00:53,R_6DD54PAsT13hxpY,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,5,1,5,2,5,1,3,1,1,1,1,1,1,1,2,2,4,5,2,4,5,3,4,5,5
2024-09-04 18:06:12,2024-09-04 18:08:36,0,130.64.22.2,100,143,1,2024-09-04 18:08:36,R_5q9aYyDkNsSQCRg,,,,,42.4178,-71.1134,anonymous,EN,3,3,3,4,1,5,1,5,2,4,3,2,1,2,2,2,1,1,4,2,2,4,4,2,4,3,4,4
2024-09-04 18:08:50,2024-09-04 18:10:47,0,130.64.22.2,100,116,1,2024-09-04 18:10:47,R_5kNg6vWipzCFyci,,,,,42.4178,-71.1134,anonymous,EN,3,3,3,2,1,5,1,5,2,3,5,5,4,4,3,2,5,5,4,4,1,5,4,5,4,5,2,5
2024-09-05 11:58:58,2024-09-05 12:03:08,0,130.64.22.2,100,249,1,2024-09-05 12:03:08,R_3fSIZQE5pEFkorG,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,1,1,6,2,5,2,3,3,2,1,1,3,2,2,2,4,5,3,2,2,4,4,4,3,4
2024-09-05 12:07:10,2024-09-05 12:16:51,0,130.64.22.2,100,581,1,2024-09-05 12:16:52,R_1mWBe5LQEbaPUKV,,,,,42.4178,-71.1134,anonymous,EN,4,4,2,4,2,6,3,5,2,2,3,2,2,2,4,3,1,2,3,5,3,4,3,4,1,4,2,4
2024-09-05 12:39:48,2024-09-05 12:42:55,0,130.64.22.2,100,187,1,2024-09-05 12:42:56,R_6hmcwpbCnfpKp2C,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,4,1,3,1,5,1,3,1,1,1,1,1,2,2,2,4,4,3,4,4,4,3,2,3,4
2024-09-05 12:47:23,2024-09-05 12:51:32,0,130.64.22.2,100,248,1,2024-09-05 12:51:32,R_3CPm6zUdyPYwwQp,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,2,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,5,2,5,4,5,1,4,2,5
2024-09-05 13:02:43,2024-09-05 13:05:43,0,130.64.22.2,100,179,1,2024-09-05 13:05:43,R_7u4rCrYAIM5tKuJ,,,,,42.4178,-71.1134,anonymous,EN,3,2,4,1,1,2,2,2,1,1,4,3,3,3,3,3,3,3,2,2,1,5,5,5,5,4,2,5
2024-09-05 13:22:37,2024-09-05 13:25:39,0,130.64.22.2,100,181,1,2024-09-05 13:25:40,R_7dKCGGP8IR1JQiB,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,4,3,5,3,5,2,3,5,4,4,4,5,4,4,3,5,4,5,4,5,2,3,4,4,4
2024-09-05 13:47:20,2024-09-05 13:56:14,0,130.64.22.2,100,534,1,2024-09-05 13:56:15,R_6MBwng1kth98TKx,,,,,42.4178,-71.1134,anonymous,EN,3,4,2,2,1,6,1,3,4,5,5,4,2,2,4,4,2,2,4,5,2,4,5,4,4,4,3,4
2024-09-05 14:46:32,2024-09-05 14:48:08,0,130.64.22.2,100,95,1,2024-09-05 14:48:08,R_7y47eCX0bDdrn0J,,,,,42.4178,-71.1134,anonymous,EN,4,4,2,4,1,5,1,5,1,1,5,5,5,5,5,5,5,5,4,3,2,5,1,4,4,4,4,5
2024-09-05 14:50:51,2024-09-05 14:53:49,0,130.64.22.2,100,177,1,2024-09-05 14:53:49,R_5xKYMmJReBuo7oB,,,,,42.4178,-71.1134,anonymous,EN,4,4,2,3,2,3,1,5,2,2,5,5,4,4,4,3,1,2,4,5,3,2,1,3,2,3,5,5
2024-09-05 14:55:08,2024-09-05 14:58:05,0,130.64.22.2,100,176,1,2024-09-05 14:58:05,R_7gGFiALlIrsn2A5,,,,,42.4178,-71.1134,anonymous,EN,4,4,4,3,3,6,1,5,3,4,4,4,3,4,4,3,3,4,3,4,2,3,4,4,4,4,4,4
2024-09-05 15:33:11,2024-09-05 15:39:30,0,130.64.22.2,100,379,1,2024-09-05 15:39:31,R_5nFeR3yZlNrN4nD,,,,,42.4178,-71.1134,anonymous,EN,3,3,3,2,1,5,3,5,2,3,5,4,3,5,4,5,3,4,4,5,3,2,1,4,2,5,4,4
2024-09-05 15:53:37,2024-09-05 15:58:05,0,130.64.22.2,100,267,1,2024-09-05 15:58:05,R_7OOzXCsYlSxQcEK,,,,,42.4178,-71.1134,anonymous,EN,4,4,4,4,2,6,3,5,2,3,3,4,2,2,4,3,4,2,4,4,4,3,2,4,3,4,3,5
2024-09-05 16:03:58,2024-09-05 16:07:37,0,130.64.22.2,100,218,1,2024-09-05 16:07:37,R_3amfJt2hxkILtfu,,,,,42.4178,-71.1134,anonymous,EN,3,3,3,3,2,5,3,5,1,1,4,4,4,4,3,4,4,4,5,4,3,3,4,2,4,3,4,3
2024-09-05 16:20:57,2024-09-05 16:24:18,0,130.64.22.2,100,201,1,2024-09-05 16:24:19,R_5Rlk0lTxcwJldE5,,,,,42.4178,-71.1134,anonymous,EN,3,3,4,5,4,6,4,5,2,2,2,3,4,4,2,4,4,4,2,2,4,1,1,1,1,4,1,5
2024-09-05 16:48:11,2024-09-05 16:52:54,0,130.64.22.2,100,283,1,2024-09-05 16:52:55,R_8IcICXAVXv12ZHL,,,,,42.4178,-71.1134,anonymous,EN,4,3,2,5,3,6,3,5,2,1,4,4,1,1,2,2,3,2,3,4,4,3,4,4,2,3,3,4
2024-09-05 17:20:08,2024-09-05 17:22:34,0,130.64.22.2,100,146,1,2024-09-05 17:22:35,R_1i2Rzus2PyO2P6l,,,,,42.4178,-71.1134,anonymous,EN,3,4,1,4,3,6,3,5,1,3,3,5,5,5,5,5,4,4,2,5,3,1,5,4,4,4,4,4
2024-09-05 17:28:52,2024-09-05 17:32:13,0,130.64.22.2,100,200,1,2024-09-05 17:32:13,R_2NXsx84flI8fwqj,,,,,42.4178,-71.1134,anonymous,EN,4,4,2,3,1,5,2,5,1,1,4,3,4,4,4,4,2,4,4,5,3,2,4,4,2,4,4,4
2024-09-05 17:38:12,2024-09-05 17:39:21,0,130.64.22.2,100,69,1,2024-09-05 17:39:21,R_64HLypXlyOJ0fOC,,,,,42.4178,-71.1134,anonymous,EN,4,5,4,4,3,5,3,4,3,3,4,2,4,3,3,2,4,4,3,2,2,4,4,4,4,2,2,4
2024-09-05 18:00:56,2024-09-05 18:07:28,0,130.64.22.2,100,392,1,2024-09-05 18:07:29,R_5BueHIo90OfN8nT,,,,,42.4178,-71.1134,anonymous,EN,4,3,2,2,1,5,1,3,1,1,2,2,1,1,2,2,2,4,3,5,4,3,4,4,2,3,4,5
2024-09-05 18:17:52,2024-09-05 18:26:54,0,130.64.22.2,100,542,1,2024-09-05 18:26:55,R_7dyNwXgl1N3AorG,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,4,1,6,3,4,1,1,4,4,4,4,4,4,4,4,4,4,4,5,5,2,4,3,2,4
2024-09-06 13:34:24,2024-09-06 13:42:51,0,130.64.22.2,100,507,1,2024-09-06 13:42:52,R_1asi6yHwFQWoMCM,,,,,42.4178,-71.1134,anonymous,EN,5,4,2,3,2,6,3,5,1,3,5,5,5,5,5,5,2,3,3,4,4,4,3,4,3,4,3,4
2024-09-06 13:43:40,2024-09-06 13:51:17,0,130.64.22.2,100,457,1,2024-09-06 13:51:18,R_6ctKHxobZv477s0,,,,,42.4178,-71.1134,anonymous,EN,5,2,3,1,2,6,3,4,1,5,4,4,4,4,3,3,4,3,2,2,2,4,2,2,2,2,4,2
2024-09-06 14:01:00,2024-09-06 14:07:33,0,130.64.22.2,100,392,1,2024-09-06 14:07:33,R_6HUBBbkhEJJAyBO,,,,,42.4178,-71.1134,anonymous,EN,3,1,1,5,4,6,4,5,1,1,4,2,4,4,3,4,3,4,2,4,4,3,4,2,3,3,5,4
2024-09-06 14:42:21,2024-09-06 14:49:30,0,130.64.22.2,100,428,1,2024-09-06 14:49:30,R_5dMjkfnaiECJCXf,,,,,42.4178,-71.1134,anonymous,EN,3,4,3,4,3,5,3,4,1,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,3,3,5
2024-09-06 14:53:54,2024-09-06 15:02:18,0,130.64.22.2,100,504,1,2024-09-06 15:02:19,R_3hfNqpgzoSQCHau,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,2,1,6,3,4,1,1,4,3,4,3,3,3,2,1,3,4,3,2,4,1,4,3,5,3
2024-09-06 15:02:51,2024-09-06 15:07:50,0,130.64.22.2,100,298,1,2024-09-06 15:07:51,R_3KxawPTUSnJ1WLP,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,3,1,5,1,5,1,1,4,5,2,1,5,5,2,4,3,2,5,4,1,1,3,3,4,5
2024-09-06 15:23:12,2024-09-06 15:27:43,0,130.64.22.2,100,271,1,2024-09-06 15:27:44,R_3EveYjEqizJhlnQ,,,,,42.4178,-71.1134,anonymous,EN,4,5,3,2,1,5,3,5,1,1,4,4,2,3,5,4,4,3,4,5,5,3,4,2,3,3,4,4
2024-09-06 16:13:34,2024-09-06 16:18:34,0,130.64.22.2,100,300,1,2024-09-06 16:18:35,R_3IPZSXrPLJzytaZ,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,5,4,6,4,5,2,4,5,5,3,2,5,5,3,2,2,5,3,3,5,4,1,5,4,4
2024-09-06 16:21:57,2024-09-06 16:26:02,0,130.64.22.2,100,244,1,2024-09-06 16:26:03,R_6WGexM6BXWsU1Eg,,,,,42.4178,-71.1134,anonymous,EN,5,5,4,4,3,5,2,5,1,1,4,4,4,4,4,4,4,4,5,5,2,5,4,4,3,4,3,4
2024-09-06 16:35:08,2024-09-06 16:41:05,0,130.64.22.2,100,356,1,2024-09-06 16:41:05,R_7neKZhOA51VTQWW,,,,,42.4178,-71.1134,anonymous,EN,4,3,1,2,1,5,1,2,1,1,3,2,4,2,4,2,1,3,4,5,3,2,2,2,3,4,5,2
2024-09-06 17:04:02,2024-09-06 17:08:18,0,130.64.22.2,100,256,1,2024-09-06 17:08:19,R_7Uaz7wOdwWO8H4g,,,,,42.4178,-71.1134,anonymous,EN,2,5,3,5,4,5,4,5,2,4,4,5,4,4,5,4,4,4,4,4,5,2,5,3,4,4,5,5
2024-09-06 17:58:42,2024-09-06 18:02:11,0,130.64.22.2,100,209,1,2024-09-06 18:02:11,R_5fkwDprdPJhdjo5,,,,,42.4178,-71.1134,anonymous,EN,2,2,2,5,4,5,4,5,1,1,4,4,2,2,3,4,3,4,3,2,4,2,4,2,4,4,4,4
2024-09-06 20:15:43,2024-09-06 20:20:04,0,96.237.118.113,100,261,1,2024-09-06 20:20:05,R_37wiHgupMIwXZwO,,,,,42.4178,-71.1134,anonymous,EN,3,4,2,1,1,6,1,5,1,1,5,4,4,3,4,5,5,4,4,5,3,4,1,2,2,3,4,5
2024-09-12 15:48:23,2024-09-12 15:54:11,0,130.64.22.2,100,347,1,2024-09-12 15:54:11,R_1noaA9g3k5qlOVz,,,,,42.4178,-71.1134,anonymous,EN,4,4,4,5,4,6,4,5,2,4,4,5,3,2,4,5,2,3,2,5,3,2,5,4,1,4,4,3
2024-09-12 16:24:00,2024-09-12 16:28:38,0,130.64.22.2,100,277,1,2024-09-12 16:28:39,R_6giGWlfedSBbJYg,,,,,42.4178,-71.1134,anonymous,EN,2,2,2,5,4,5,4,5,1,1,4,4,3,3,3,4,2,3,3,3,4,2,4,2,4,4,4,3
2024-09-13 17:29:38,2024-09-13 17:37:20,0,96.237.118.113,100,462,1,2024-09-13 17:37:21,R_71yppl5vN1ps11h,,,,,42.4178,-71.1134,anonymous,EN,5,5,5,4,3,6,3,4,1,3,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,2,2
2024-09-13 17:55:15,2024-09-13 17:58:17,0,96.237.118.113,100,181,1,2024-09-13 17:58:17,R_6ci3HyLc6h79WBs,,,,,42.4178,-71.1134,anonymous,EN,4,4,2,1,1,6,1,3,1,1,4,3,4,4,3,3,4,4,4,5,3,3,2,2,4,3,4,5
